Injection,ImageIndex,Top_1,Top_2,Top_3,Top_4,Top_5,Golden,Bit,NoChange
0,0,3,5,1,6,2,3,0,False
0,1,8,1,0,9,3,8,0,False
0,2,8,1,9,0,2,8,0,False
0,3,0,8,9,3,1,0,0,False
0,4,6,2,3,4,1,6,0,False
0,5,6,3,5,4,2,6,0,False
0,6,1,9,3,0,5,1,0,False
0,7,6,2,5,0,9,6,0,False
0,8,3,5,4,7,6,3,0,False
0,9,1,9,8,3,6,1,0,False
0,10,0,3,4,5,2,0,0,False
0,11,9,1,7,8,0,9,0,False
0,12,4,5,6,7,3,5,0,False
0,13,7,3,5,2,4,7,0,False
0,14,9,1,7,8,3,9,0,False
0,15,8,1,6,5,0,8,0,False
0,16,5,7,3,6,4,5,0,False
0,17,7,9,4,1,2,7,0,False
0,18,8,9,1,0,6,8,0,False
0,19,6,2,9,8,1,6,0,False
0,20,7,5,0,9,3,7,0,False
0,21,0,2,3,9,6,0,0,False
0,22,4,6,3,2,8,4,0,False
0,23,9,1,3,0,7,9,0,False
0,24,5,3,4,7,9,5,0,False
0,25,2,3,5,0,4,2,0,False
0,26,4,3,5,7,6,4,0,False
0,27,0,6,2,9,7,0,0,False
0,28,9,1,0,8,6,9,0,False
0,29,6,4,2,7,5,6,0,False
0,30,6,5,1,3,4,6,0,False
0,31,5,3,6,4,2,5,0,False
0,32,4,8,2,9,6,4,0,False
0,33,5,6,4,3,2,5,0,False
0,34,9,0,1,8,7,9,0,False
0,35,3,2,1,8,9,2,0,False
0,36,4,7,5,3,6,4,0,False
0,37,1,9,0,8,3,1,0,False
0,38,9,1,8,6,3,9,0,False
0,39,5,4,2,6,3,5,0,False
0,40,4,2,7,0,9,4,0,False
0,41,6,3,5,1,2,6,0,False
0,42,5,3,7,2,1,5,0,False
0,43,6,2,5,3,8,6,0,False
0,44,0,1,7,9,2,0,0,False
0,45,9,1,0,3,7,9,0,False
0,46,3,6,5,4,2,3,0,False
0,47,9,8,1,0,3,9,0,False
0,48,7,5,4,1,3,7,0,False
0,49,6,0,7,4,5,6,0,False
0,50,9,1,0,3,8,9,0,False
0,51,8,4,6,9,7,8,0,False
0,52,2,7,3,0,1,0,0,False
0,53,3,5,6,4,2,3,0,False
0,54,8,0,1,9,4,8,0,False
0,55,8,9,2,0,5,8,0,False
0,56,7,5,3,2,4,7,0,False
0,57,7,3,5,6,9,7,0,False
0,58,5,7,4,2,3,4,0,False
0,59,3,5,6,1,0,6,0,False
0,60,7,5,3,4,1,7,0,False
0,61,5,3,6,7,4,3,0,False
0,62,3,1,9,2,5,3,0,False
0,63,2,6,4,9,7,2,0,False
0,64,1,8,9,0,6,1,0,False
0,65,2,0,1,6,9,2,0,False
0,66,3,7,1,8,9,3,0,False
0,67,7,4,2,5,9,7,0,False
0,68,2,5,4,3,7,2,0,False
0,69,8,0,4,9,1,8,0,False
0,70,8,0,1,7,9,8,0,False
0,71,0,9,1,7,8,0,0,False
0,72,2,6,0,9,4,2,0,False
0,73,9,0,2,7,1,9,0,False
0,74,3,5,1,0,7,3,0,False
0,75,3,5,7,6,4,3,0,False
0,76,8,0,4,7,9,8,0,False
0,77,1,9,0,6,3,1,0,False
0,78,1,9,5,4,8,1,0,False
0,79,7,5,4,2,8,7,0,False
0,80,2,3,6,4,7,2,0,False
0,81,5,7,9,3,2,5,0,False
0,82,2,3,7,5,9,2,0,False
0,83,7,3,4,0,9,7,0,False
0,84,0,1,4,8,9,0,0,False
0,85,3,6,2,5,1,3,0,False
0,86,4,7,5,2,3,4,0,False
0,87,0,2,8,6,4,0,0,False
0,88,0,2,6,9,1,0,0,False
0,89,4,7,5,3,2,4,0,False
0,90,5,4,7,3,8,5,0,False
0,91,1,9,7,8,3,1,0,False
0,92,1,9,3,7,2,1,0,False
0,93,4,6,2,3,5,4,0,False
0,94,2,6,3,4,5,2,0,False
0,95,1,9,8,0,6,1,0,False
0,96,4,0,7,1,9,4,0,False
0,97,3,6,2,7,0,2,0,False
0,98,1,9,7,3,4,1,0,False
0,99,3,5,0,1,9,5,0,False
1,0,3,5,1,6,2,3,1,False
1,1,8,1,0,9,3,8,1,False
1,2,8,1,9,0,2,8,1,False
1,3,0,8,9,3,1,0,1,False
1,4,6,2,3,4,1,6,1,False
1,5,6,3,5,4,2,6,1,False
1,6,1,9,3,0,5,1,1,False
1,7,6,2,5,0,9,6,1,False
1,8,3,5,4,7,6,3,1,False
1,9,1,9,8,3,6,1,1,False
1,10,0,3,4,5,2,0,1,False
1,11,9,1,7,8,0,9,1,False
1,12,4,5,6,7,3,5,1,False
1,13,7,3,5,2,4,7,1,False
1,14,9,1,7,8,3,9,1,False
1,15,8,1,6,5,0,8,1,False
1,16,5,7,3,6,4,5,1,False
1,17,7,9,4,1,2,7,1,False
1,18,8,9,1,0,6,8,1,False
1,19,6,2,9,8,1,6,1,False
1,20,7,5,0,9,3,7,1,False
1,21,0,2,3,9,6,0,1,False
1,22,4,6,3,2,8,4,1,False
1,23,9,1,3,0,7,9,1,False
1,24,5,3,4,7,9,5,1,False
1,25,2,3,5,0,4,2,1,False
1,26,4,3,5,7,6,4,1,False
1,27,0,6,2,9,7,0,1,False
1,28,9,1,0,8,6,9,1,False
1,29,6,4,2,7,5,6,1,False
1,30,6,5,1,3,4,6,1,False
1,31,5,3,6,4,2,5,1,False
1,32,4,8,2,9,6,4,1,False
1,33,5,6,4,3,2,5,1,False
1,34,9,0,1,8,7,9,1,False
1,35,3,2,1,8,9,2,1,False
1,36,4,7,5,3,6,4,1,False
1,37,1,9,0,8,3,1,1,False
1,38,9,1,8,6,3,9,1,False
1,39,5,4,2,6,3,5,1,False
1,40,4,2,7,0,9,4,1,False
1,41,6,3,5,1,2,6,1,False
1,42,5,3,7,2,1,5,1,False
1,43,6,2,5,3,8,6,1,False
1,44,0,1,7,9,2,0,1,False
1,45,9,1,0,3,7,9,1,False
1,46,3,6,5,4,2,3,1,False
1,47,9,8,1,0,3,9,1,False
1,48,7,5,4,1,3,7,1,False
1,49,6,0,7,4,5,6,1,False
1,50,9,1,0,3,8,9,1,False
1,51,8,4,6,9,7,8,1,False
1,52,2,7,3,0,1,0,1,False
1,53,3,5,6,4,2,3,1,False
1,54,8,0,1,9,4,8,1,False
1,55,8,9,2,0,5,8,1,False
1,56,7,5,3,2,4,7,1,False
1,57,7,3,5,6,9,7,1,False
1,58,5,7,4,2,3,4,1,False
1,59,3,5,6,1,0,6,1,False
1,60,7,5,3,4,1,7,1,False
1,61,5,3,6,7,4,3,1,False
1,62,3,1,9,2,5,3,1,False
1,63,2,6,4,9,7,2,1,False
1,64,1,8,9,0,6,1,1,False
1,65,2,0,1,6,9,2,1,False
1,66,3,7,1,8,9,3,1,False
1,67,7,4,2,5,9,7,1,False
1,68,2,5,4,3,7,2,1,False
1,69,8,0,4,9,1,8,1,False
1,70,8,0,1,7,9,8,1,False
1,71,0,9,1,7,8,0,1,False
1,72,2,6,0,9,4,2,1,False
1,73,9,0,2,7,1,9,1,False
1,74,3,5,1,0,7,3,1,False
1,75,3,5,7,6,4,3,1,False
1,76,8,0,4,7,9,8,1,False
1,77,1,9,0,6,3,1,1,False
1,78,1,9,5,4,8,1,1,False
1,79,7,5,4,2,8,7,1,False
1,80,2,3,6,4,7,2,1,False
1,81,5,7,9,3,2,5,1,False
1,82,2,3,7,5,9,2,1,False
1,83,7,3,4,0,9,7,1,False
1,84,0,1,4,8,9,0,1,False
1,85,3,6,2,5,1,3,1,False
1,86,4,7,5,2,3,4,1,False
1,87,0,2,8,6,4,0,1,False
1,88,0,2,6,9,1,0,1,False
1,89,4,7,5,3,2,4,1,False
1,90,5,4,7,3,8,5,1,False
1,91,1,9,7,8,3,1,1,False
1,92,1,9,3,7,2,1,1,False
1,93,4,6,2,3,5,4,1,False
1,94,2,6,3,4,5,2,1,False
1,95,1,9,8,0,6,1,1,False
1,96,4,0,7,1,9,4,1,False
1,97,3,6,2,7,0,2,1,False
1,98,1,9,7,3,4,1,1,False
1,99,3,5,0,1,9,5,1,False
